"time","PID.D.x","PID.I.y","secondOrder1.y","secondOrder1.yd","der(PID.D.x)","der(PID.I.y)","der(secondOrder1.y)","der(secondOrder1.yd)","PID.Add.u1","PID.Add.u3","PID.Add.y","PID.u","PID.y","feedback1.u1","PID.Add.u2","PID.D.u","PID.D.y","PID.Gain.u","PID.Gain.y","PID.I.u","PID.P.u","PID.P.y","feedback1.u2","feedback1.y","secondOrder1.u","step1.y"
0,0,0,0,0,100,0.1,0,22,1,10,11,1,11,1,0,1,10,11,11,1,1,1,0,1,11,1
0.2,0.9364556266071175,0.01942779396968575,0.06821977615133298,0.4785495516409283,-0.4675402758450464,0.09317802238486671,0.4785495516409283,1.070718832019064,0.931780223848667,-0.04675402758450464,0.9044539902338481,0.931780223848667,0.9044539902338481,1,0.01942779396968575,0.931780223848667,-0.04675402758450464,0.9044539902338481,0.9044539902338481,0.931780223848667,0.931780223848667,0.931780223848667,0.06821977615133298,0.931780223848667,0.9044539902338481,1
0.4,0.8248039861839593,0.03698289048171267,0.1814984775572563,0.6356398513618142,-0.630246374121568,0.08185015224427437,0.6356398513618142,0.5135252815608028,0.8185015224427437,-0.0630246374121568,0.7924597755122995,0.8185015224427437,0.7924597755122995,1,0.03698289048171267,0.8185015224427437,-0.0630246374121568,0.7924597755122995,0.7924597755122995,0.8185015224427437,0.8185015224427437,0.8185015224427437,0.1814984775572563,0.8185015224427437,0.7924597755122995,1
0.6,0.6912548665484017,0.05202961384236984,0.3156420914753761,0.6904228031220804,-0.6896958023777877,0.06843579085246239,0.6904228031220804,0.05260186841214121,0.6843579085246239,-0.06896958023777877,0.6674179421292149,0.6843579085246239,0.6674179421292149,1,0.05202961384236984,0.6843579085246239,-0.06896958023777877,0.6674179421292149,0.6674179421292149,0.6843579085246239,0.6843579085246239,0.6843579085246239,0.3156420914753761,0.6843579085246239,0.6674179421292149,1
0.8,0.5543919259668506,0.06434160032133658,0.4522806317309193,0.6644813244129149,-0.6672557697769976,0.05477193682690806,0.6644813244129149,-0.2918837026835651,0.5477193682690806,-0.06672557697769976,0.5453353916127175,0.5477193682690806,0.5453353916127175,1,0.06434160032133658,0.5477193682690806,-0.06672557697769976,0.5453353916127175,0.5453353916127175,0.5477193682690806,0.5477193682690806,0.5477193682690806,0.4522806317309193,0.5477193682690806,0.5453353916127175,1
1,0.4282223307408825,0.07401461200521164,0.5776452876794747,0.5816821387431954,-0.5867618420357157,0.04223547123205254,0.5816821387431954,-0.5166140016756173,0.4223547123205253,-0.05867618420357157,0.4376931401221654,0.4223547123205253,0.4376931401221654,1,0.07401461200521164,0.4223547123205253,-0.05867618420357157,0.4376931401221654,0.4376931401221654,0.4223547123205253,0.4223547123205253,0.4223547123205253,0.5776452876794747,0.4223547123205253,0.4376931401221654,1
1.2,0.3220000990318737,0.08137207890014093,0.6827147715246017,0.4652118403035818,-0.4714870556475348,0.03172852284753983,0.4652118403035818,-0.6309941443280447,0.3172852284753983,-0.04714870556475348,0.3515086018107857,0.3172852284753983,0.3515086018107857,1,0.08137207890014093,0.3172852284753983,-0.04714870556475348,0.3515086018107857,0.3515086018107857,0.3172852284753983,0.3172852284753983,0.3172852284753983,0.6827147715246017,0.3172852284753983,0.3515086018107857,1
1.4,0.2405662377704231,0.08687306060487963,0.7628537400681403,0.3354624122279702,-0.3419977838563459,0.02371462599318597,0.3354624122279702,-0.6528620328850891,0.2371462599318597,-0.03419977838563459,0.2898195421511047,0.2371462599318597,0.2898195421511047,1,0.08687306060487963,0.2371462599318597,-0.03419977838563459,0.2898195421511047,0.2898195421511047,0.2371462599318597,0.2371462599318597,0.2371462599318597,0.7628537400681403,0.2371462599318597,0.2898195421511047,1
1.6,0.185035703709794,0.09103110364835866,0.8171126331421196,0.2087521193173312,-0.214833685191354,0.01828873668578804,0.2087521193173312,-0.6044953962121759,0.1828873668578804,-0.0214833685191354,0.2524351019871037,0.1828873668578804,0.2524351019871037,1,0.09103110364835866,0.1828873668578804,-0.0214833685191354,0.2524351019871037,0.2524351019871037,0.1828873668578804,0.1828873668578804,0.1828873668578804,0.8171126331421196,0.1828873668578804,0.2524351019871037,1
1.8,0.1536714963446696,0.09434914607729261,0.8473478507097965,0.0967874031752631,-0.1019347054466102,0.01526521492902035,0.0967874031752631,-0.5092345655094945,0.1526521492902035,-0.01019347054466102,0.2368078248228351,0.1526521492902035,0.2368078248228351,1,0.09434914607729261,0.1526521492902035,-0.01019347054466102,0.2368078248228351,0.2368078248228351,0.1526521492902035,0.1526521492902035,0.1526521492902035,0.8473478507097965,0.1526521492902035,0.2368078248228351,1
